[ 2025-06-15 17:40:09,272 ] asyncio - DEBUG - Using proactor: IocpProactor
[ 2025-06-15 17:41:14,516 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-06-15 17:41:14,516 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[0:6]
[ 2025-06-15 17:41:14,518 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[7:8]
[ 2025-06-15 17:41:14,524 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-06-15 17:41:14,524 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-06-15 17:41:14,526 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[9:12]
[ 2025-06-15 17:41:14,526 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[13:15]
[ 2025-06-15 17:41:14,528 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-06-15 17:41:14,528 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-06-15 17:41:14,529 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[16:31]
[ 2025-06-15 17:41:14,530 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[32:33]
[ 2025-06-15 17:41:14,530 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-06-15 17:41:14,531 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-06-15 17:41:14,531 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[34:45]
[ 2025-06-15 17:41:14,531 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[46:48]
[ 2025-06-15 17:41:14,531 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-06-15 17:41:14,531 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-06-15 17:41:14,532 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[49:67]
[ 2025-06-15 17:41:14,537 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[68:69]
[ 2025-06-15 17:41:14,538 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-06-15 17:41:14,539 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-06-15 17:41:14,539 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[70:84]
[ 2025-06-15 17:41:14,540 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[85:90]
[ 2025-06-15 17:41:14,541 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-06-15 17:41:14,542 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-06-15 17:41:14,542 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[91:111]
[ 2025-06-15 17:41:14,543 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[112:114]
[ 2025-06-15 17:41:14,543 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-06-15 17:41:14,543 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-06-15 17:41:14,544 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[115:122]
[ 2025-06-15 17:41:14,544 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[123:126]
[ 2025-06-15 17:41:14,545 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-06-15 17:41:14,546 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-06-15 17:41:14,546 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[127:148]
[ 2025-06-15 17:41:14,547 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[149:150]
[ 2025-06-15 17:41:14,547 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-06-15 17:41:14,548 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-06-15 17:41:14,548 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[151:173]
[ 2025-06-15 17:41:14,549 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[174:175]
[ 2025-06-15 17:41:14,550 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-06-15 17:41:14,550 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-06-15 17:41:14,550 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[176:194]
[ 2025-06-15 17:41:14,550 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[195:196]
[ 2025-06-15 17:41:14,551 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-06-15 17:41:14,552 ] python_multipart.multipart - DEBUG - Calling on_end with no data
[ 2025-06-15 17:41:14,552 ] root - INFO - Entered get_usvisa_data_as_dict method as VehicleData class
[ 2025-06-15 17:41:14,553 ] root - INFO - Created vehicle data dict
[ 2025-06-15 17:41:14,554 ] root - INFO - Exited get_vehicle_data_as_dict method as VehicleData class
[ 2025-06-15 17:41:14,557 ] root - INFO - Entered predict method of VehicleDataClassifier class
[ 2025-06-15 17:41:14,558 ] root - ERROR - Error occurred in python script: [C:\Users\harsh\OneDrive\Desktop\MLOps-Learn\MLOps---Project---1\src\pipline\prediction_pipeline.py] at line number [101]: Environment variable: AWS_ACCESS_KEY_ID is not not set.
